,Tenpai,Machi
1182,2223444555567,12348
1183,1122233466699,3
1184,2666677778888,2
1185,1113333457799,79
1186,1123444555777,14
1187,1113444555888,2345
1188,1112334555789,12345
1189,1112367777888,1458
1190,1111356666778,2
1191,2334477888899,25
1192,2334456666788,2578
1193,1223344445688,178
1194,1114566689999,7
1195,2333346777789,5689
1196,1233455568888,7
1197,1111223346789,569
1198,1114445556788,58
1199,1111233335788,6
1200,1235667789999,6
1201,3344557778899,789
1202,3344556777888,235678
1203,2244466778899,269
1204,1333555778899,12
1205,2233335788889,4
1206,3333444588889,7
1207,4555566778888,34679
1208,1122334477778,69
1209,1114444566899,7
1210,1134444555678,125
1211,2334555567888,134
1212,1114455667778,3689
1213,2234556666777,247
1214,1233444556788,48
1215,1112223389999,7
1216,1122233346699,69
1217,1114455566999,456
1218,2344566777788,35689
1219,1234555777888,1346
1220,1233455678899,89
1221,1223345556699,69
1222,1111233455699,47
1223,1111222235557,67
1224,1111333555999,2
1225,3334455667778,36789
1226,1122344567888,3
1227,1111244477788,3
1228,1222234455688,36
1229,1112333345677,147
1230,2224555566689,7
1231,2333344445589,7
1232,2345557788999,6789
1233,1112233467888,1458
1234,1333355577799,2
1235,1113378888999,369
1236,1114444555699,59
1237,1222233444888,1345
1238,1233344557899,69
1239,2223344666999,2345
1240,1233335555678,48
1241,1112333344568,78
1242,1122355566688,3
1243,1222233488899,59
1244,2222333344488,148
1245,3334555788889,23456
1246,1111233356789,47
1247,3445556666779,8
1248,1112226666778,578
1249,1112223336799,58
1250,1333444666888,12
1251,4445555679999,8
1252,3555566678888,4
1253,1112224445679,89
1254,1222366678889,28
1255,1233345566888,47
1256,2333355567778,14
1257,1134556677888,1258
1258,1234455556779,8
1259,1115666688999,47
1260,2333444677778,1234
1261,2225556667888,56789
1262,1223356666777,14
1263,1344445777789,1
1264,2223445566999,13467
1265,1222255578889,3
1266,1112222488999,3
1267,1233344466778,58
1268,1144555678888,14
1269,1114666778899,45
1270,1124567888999,3
1271,1122233477788,3
1272,3444788889999,235
1273,1133346666789,5
1274,2245566667999,23
1275,1133344456677,58
1276,4455566667799,58
1277,1233335666789,457
1278,1233444457799,79
1279,1123444466789,16
1280,3334678889999,5
1281,1122234445999,14
1282,3334667888899,5
1283,1122333355888,5
1284,3344567777999,34
1285,2333355577999,14
1286,1223445566789,2
1287,1222234666678,1345
1288,1144456888999,147
1289,1234455567777,458
1290,1133355556888,47
1291,1333344455588,2
1292,3444555578888,69
1293,1122333344777,14
1294,1124566777889,3
1295,1113345666699,39
1296,1112334577779,8
1297,2233456788889,23
1298,2344446778889,58
1299,1114445666778,5689
1300,1222233455578,69
1301,3444455578889,258
1302,1133345666999,136
1303,1144455677889,15
1304,3345566777789,34
1305,1233456777888,235678
1306,2344566777889,147
1307,1122335556669,9
1308,1122223455566,16
1309,1233455688999,47
1310,3333455578899,7
1311,1113456666999,23
1312,2333344667888,5
1313,1111222344466,26
1314,2244445666679,8
1315,1112345557778,689
1316,1123456888999,147
1317,1112223777999,1234
1318,1233355556777,347
1319,3444566668999,7
1320,1122266678999,169
1321,1234466677779,8
1322,3344455677778,345
1323,2222333467778,37
1324,1112333444467,58
1325,1133555566667,13
1326,1112222789999,3
1327,2333346677889,69
1328,1115566688999,58
1329,1112244455789,25
1330,1112245688899,29
1331,1111233335555,4
1332,1233345668888,7
1333,1144455557999,6
1334,1233334666888,1245
1335,1222235555679,9
1336,2233344457899,69
1337,3333566788889,4
1338,3334567778889,6789
